,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
48,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",30.0,5.0,2.24,0.0,2.76,0.0,0.0,0.0,0.0,285.0,197.0,0.0,88.0,0.0,0.0
49,BTM,"Butte, MT: Bert Mooney",58.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,284.0,259.0,25.0,0.0,0.0,0.0
50,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",335.0,44.0,16.490000000000002,1.17,20.189999999999998,0.0,6.15,0.0,1.0,1746.0,697.0,40.0,726.0,0.0,283.0
51,BTV,"Burlington, VT: Burlington International",248.0,26.0,9.28,3.41,10.16,0.0,3.14,1.0,0.0,2318.0,841.0,379.0,768.0,0.0,330.0
52,BUF,"Buffalo, NY: Buffalo Niagara International",826.0,93.0,44.34,6.0600000000000005,23.34,1.0,18.24,24.0,0.0,5962.0,2733.0,926.0,978.0,15.0,1310.0
53,BUR,"Burbank, CA: Bob Hope",928.0,69.0,36.85,1.0,8.43,0.0,22.72,2.0,1.0,2868.0,1345.0,51.0,309.0,0.0,1163.0
54,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5162.0,484.0,171.63,4.14,177.21,0.54,130.47,107.0,12.0,19947.0,8046.0,424.0,6097.0,14.0,5366.0
55,BZN,"Bozeman, MT: Bozeman Yellowstone International",614.0,105.0,44.46,5.68,38.26,0.0,16.6,4.0,0.0,4945.0,2490.0,480.0,1073.0,0.0,902.0
56,CAE,"Columbia, SC: Columbia Metropolitan",354.0,25.0,16.21,1.0,3.93,0.0,3.86,0.0,0.0,1076.0,677.0,36.0,136.0,0.0,227.0
57,CAK,"Akron, OH: Akron-Canton Regional",139.0,10.0,4.04,0.0,4.15,0.0,1.81,1.0,0.0,413.0,182.0,0.0,112.0,0.0,119.0
58,CDB,"Cold Bay, AK: Cold Bay Airport",18.0,9.0,0.7,1.37,2.74,1.31,2.88,1.0,1.0,405.0,37.0,39.0,126.0,36.0,167.0
59,CDC,"Cedar City, UT: Cedar City Regional",53.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,94.0,94.0,0.0,0.0,0.0,0.0
60,CDV,"Cordova, AK: Merle K Mudhole Smith",60.0,15.0,1.63,2.0,4.91,0.0,6.46,5.0,3.0,542.0,38.0,154.0,135.0,0.0,215.0
61,CGI,"Cape Girardeau, MO: Cape Girardeau Regional",53.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,123.0,76.0,0.0,47.0,0.0,0.0
62,CHA,"Chattanooga, TN: Lovell Field",400.0,29.0,9.21,3.82,5.3100000000000005,0.53,10.129999999999999,2.0,0.0,1634.0,423.0,229.0,151.0,16.0,815.0
63,CHO,"Charlottesville, VA: Charlottesville Albemarle",118.0,3.0,0.59,1.0,0.0,0.0,1.41,1.0,1.0,110.0,10.0,21.0,0.0,0.0,79.0
64,CHS,"Charleston, SC: Charleston AFB/International",1272.0,162.0,77.21,4.58,49.89,0.85,29.45,6.0,1.0,6596.0,3245.0,291.0,1564.0,28.0,1468.0
65,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",504.0,66.0,38.55,4.53,10.43,0.0,12.48,9.0,1.0,5086.0,3013.0,859.0,308.0,0.0,906.0
66,CIU,"Sault Ste. Marie, MI: Chippewa County International",61.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,751.0,751.0,0.0,0.0,0.0,0.0
67,CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",64.0,5.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,219.0,191.0,0.0,28.0,0.0,0.0
68,CLE,"Cleveland, OH: Cleveland-Hopkins International",2092.0,280.0,109.61,3.77,108.25,4.63,53.74,12.0,3.0,12714.0,5168.0,311.0,3960.0,198.0,3077.0
69,CLL,"College Station/Bryan, TX: Easterwood Field",106.0,15.0,3.3,1.08,6.56,0.0,4.06,0.0,1.0,1152.0,113.0,625.0,169.0,0.0,245.0
